edge_id,node_a,node_b,s1_star
232,124,126,0.80648725
233,125,126,0.71865747
234,127,128,0.55991248
235,127,129,0.65466938
236,128,129,0.85536713
237,127,130,0.75263859
238,128,130,0.97388207
239,127,131,0.74218808
240,128,131,1.11413402
241,129,130,0.75567332
242,129,131,0.83997035
243,130,131,0.72668693
244,91,132,0.74033919
245,91,133,0.61658609
246,132,133,0.77191449
247,91,134,0.85817817
248,132,134,1.04496058
249,91,135,0.81826124
250,132,135,1.10021187
251,91,136,0.77080337
252,132,136,0.98699494
253,91,137,0.86558279
254,132,137,1.02522345
255,91,138,0.68651253
256,132,138,0.97748747
257,133,134,0.94488684
258,133,135,1.09675780
259,133,136,0.97330915
260,133,137,0.90489053
261,133,138,0.79979823
262,134,135,0.84462918
263,134,136,0.74478558
264,134,137,0.69575554
265,134,138,0.84278041
266,135,136,0.83017302
267,135,137,0.95937327
268,135,138,0.77260303
269,136,138,0.93285120
270,137,138,0.72721614
271,136,137,0.83596312
272,20,139,0.67506934
273,20,140,0.64432177
274,139,140,0.66245001
275,20,141,0.92404266
276,140,141,0.85070485
277,139,141,0.85749301
278,62,142,-0.16834648
279,65,142,0.03181492
280,66,142,0.13653156
281,143,144,0.87848103
282,143,145,0.81347157
283,144,145,0.58135968
284,143,146,0.88860774
285,144,146,0.69912307
286,143,147,0.85528247
287,144,147,0.66813686
288,145,146,0.82000563
289,145,147,0.69292158
290,143,148,0.81347114
291,145,148,0.64108944
292,146,147,0.56696944
293,146,148,0.71400031
294,147,148,0.59335463
295,144,148,0.65758746
296,54,149,0.80324090
297,54,150,0.70365248
298,149,150,0.97773209
299,55,87,0.99886737
300,60,87,1.03097861
301,55,151,0.92468508
302,60,151,0.87091084
303,87,151,0.74772594
304,152,153,0.79783652
305,152,154,0.52797783
306,153,154,0.72692567
307,155,156,0.83522069
308,155,157,0.91600059
309,156,157,1.08069552
310,155,158,-0.08290888
311,156,158,0.08188216
312,157,158,0.00102672
313,125,159,0.68176263
314,125,160,0.80156983
315,159,160,0.76299994
316,125,161,1.02484591
317,159,161,1.49047688
318,125,162,0.68086815
319,159,162,0.65433825
320,125,163,0.78275782
321,159,163,0.70835306
322,125,164,0.69391973
323,159,164,0.81531496
324,160,161,1.22325758
325,160,162,0.67636531
326,160,163,0.64690079
327,160,164,0.67208742
328,161,162,0.76041749
329,161,163,0.88922065
330,161,164,0.66910807
331,162,163,0.77823750
332,162,164,0.74978601
333,163,164,0.73229685
334,165,166,1.08260838
335,165,167,0.84437257
336,166,167,0.77540475
337,168,169,0.91957056
338,168,170,1.01658622
339,169,170,1.01363118
340,95,174,0.82132699
341,96,174,0.80828074
342,95,173,0.80889579
343,173,174,0.79608368
344,96,173,0.78326814
345,177,178,1.02278529
346,177,179,1.01790851
347,178,179,0.71304119
348,180,181,0.79285781
349,180,182,0.81092281
350,181,182,0.75778684
351,180,183,0.81716629
352,181,183,0.74740214
353,182,183,0.73015834
354,145,184,0.63942405
355,148,184,0.67124375
356,145,185,0.75118351
357,148,185,0.71116244
358,145,186,0.77493515
359,148,186,0.60882711
360,145,187,0.88861415
361,148,187,0.73461704
362,145,188,0.88211372
363,148,188,0.83229461
364,145,189,0.82216090
365,148,189,1.00813716
366,184,185,0.87105641
367,185,186,1.04022318
368,185,187,0.99494850
369,185,188,1.05679621
370,185,189,1.05437777
371,184,186,0.72586320
372,184,187,0.77478184
373,184,188,0.87453574
374,184,189,0.84583560
375,186,187,0.80557211
376,186,188,0.89370600
377,186,189,0.94172420
378,187,188,0.88536182
379,187,189,1.16643525
380,188,189,0.78341615
381,190,191,0.83825940
382,190,193,0.92077552
383,191,193,0.90656287
384,190,194,0.93606531
385,191,194,0.84194874
386,190,192,0.66915374
387,192,193,0.82280666
388,192,194,0.82158484
389,193,194,0.87704831
390,190,195,0.95304027
391,193,195,0.77273881
392,194,195,0.69535167
393,191,192,0.83225205
394,191,195,0.81618309
395,192,195,0.87717963
396,20,196,1.21403104
397,139,196,1.51383743
398,20,197,0.91644387
399,139,197,1.16189075
400,20,198,0.99562620
401,139,198,1.30190901
402,20,199,0.91881453
403,139,199,1.18523535
404,20,200,0.71037402
405,139,200,1.07203886
406,20,201,0.79522014
407,139,201,0.99521802
408,196,197,0.40411283
409,196,199,0.67383459
410,196,200,0.64463858
411,197,198,0.79862753
412,197,199,0.75771658
413,197,200,0.80994571
414,197,201,1.01022334
415,198,199,0.64390241
416,198,200,0.49282385
417,199,200,0.42311803
418,199,201,0.63153601
419,200,201,0.69556230
